onset,duration,description
2022-03-12 03:39:41.829,60.0,Eye Open
2022-03-12 03:40:41.829,1.0,transition
2022-03-12 03:40:42.829,60.0,Eye Closed
2022-03-12 03:41:42.829,1.0,transition
2022-03-12 03:41:43.829,5.0,A
2022-03-12 03:41:48.829,1.0,transition
2022-03-12 03:41:49.829,5.0,Black Screen
2022-03-12 03:41:54.829,1.0,transition
2022-03-12 03:41:55.829,5.0,Imagined Letter A
2022-03-12 03:42:00.829,1.0,transition
2022-03-12 03:42:01.829,5.0,B
2022-03-12 03:42:06.829,1.0,transition
2022-03-12 03:42:07.829,5.0,Black Screen
2022-03-12 03:42:12.829,1.0,transition
2022-03-12 03:42:13.829,5.0,Imagined Letter B
2022-03-12 03:42:18.829,1.0,transition
2022-03-12 03:42:19.829,5.0,C
2022-03-12 03:42:24.829,1.0,transition
2022-03-12 03:42:25.829,5.0,Black Screen
2022-03-12 03:42:30.829,1.0,transition
2022-03-12 03:42:31.829,5.0,Imagined Letter C
2022-03-12 03:42:36.829,1.0,transition
2022-03-12 03:42:37.829,5.0,D
2022-03-12 03:42:42.829,1.0,transition
2022-03-12 03:42:43.829,5.0,Black Screen
2022-03-12 03:42:48.829,1.0,transition
2022-03-12 03:42:49.829,5.0,Imagined Letter D
2022-03-12 03:42:54.829,1.0,transition
2022-03-12 03:42:55.829,5.0,E
2022-03-12 03:43:00.829,1.0,transition
2022-03-12 03:43:01.829,5.0,Black Screen
2022-03-12 03:43:06.829,1.0,transition
2022-03-12 03:43:07.829,5.0,Imagined Letter E
2022-03-12 03:43:12.829,1.0,transition
2022-03-12 03:43:13.829,5.0,F
2022-03-12 03:43:18.829,1.0,transition
2022-03-12 03:43:19.829,5.0,Black Screen
2022-03-12 03:43:24.829,1.0,transition
2022-03-12 03:43:25.829,5.0,Imagined Letter F
2022-03-12 03:43:30.829,1.0,transition
2022-03-12 03:43:31.829,5.0,G
2022-03-12 03:43:36.829,1.0,transition
2022-03-12 03:43:37.829,5.0,Black Screen
2022-03-12 03:43:42.829,1.0,transition
2022-03-12 03:43:43.829,5.0,Imagined Letter G
2022-03-12 03:43:48.829,1.0,transition
2022-03-12 03:43:49.829,5.0,H
2022-03-12 03:43:54.829,1.0,transition
2022-03-12 03:43:55.829,5.0,Black Screen
2022-03-12 03:44:00.829,1.0,transition
2022-03-12 03:44:01.829,5.0,Imagined Letter H
2022-03-12 03:44:06.829,1.0,transition
2022-03-12 03:44:07.829,5.0,I
2022-03-12 03:44:12.829,1.0,transition
2022-03-12 03:44:13.829,5.0,Black Screen
2022-03-12 03:44:18.829,1.0,transition
2022-03-12 03:44:19.829,5.0,Imagined Letter I
2022-03-12 03:44:24.829,1.0,transition
2022-03-12 03:44:25.829,5.0,J
2022-03-12 03:44:30.829,1.0,transition
2022-03-12 03:44:31.829,5.0,Black Screen
2022-03-12 03:44:36.829,1.0,transition
2022-03-12 03:44:37.829,5.0,Imagined Letter J
2022-03-12 03:44:42.829,1.0,transition
2022-03-12 03:44:43.829,5.0,K
2022-03-12 03:44:48.829,1.0,transition
2022-03-12 03:44:49.829,5.0,Black Screen
2022-03-12 03:44:54.829,1.0,transition
2022-03-12 03:44:55.829,5.0,Imagined Letter K
2022-03-12 03:45:00.829,1.0,transition
2022-03-12 03:45:01.829,5.0,L
2022-03-12 03:45:06.829,1.0,transition
2022-03-12 03:45:07.829,5.0,Black Screen
2022-03-12 03:45:12.829,1.0,transition
2022-03-12 03:45:13.829,5.0,Imagined Letter L
2022-03-12 03:45:18.829,1.0,transition
2022-03-12 03:45:19.829,5.0,M
2022-03-12 03:45:24.829,1.0,transition
2022-03-12 03:45:25.829,5.0,Black Screen
2022-03-12 03:45:30.829,1.0,transition
2022-03-12 03:45:31.829,5.0,Imagined Letter M
2022-03-12 03:45:36.829,1.0,transition
2022-03-12 03:45:37.829,5.0,N
2022-03-12 03:45:42.829,1.0,transition
2022-03-12 03:45:43.829,5.0,Black Screen
2022-03-12 03:45:48.829,1.0,transition
2022-03-12 03:45:49.829,5.0,Imagined Letter N
2022-03-12 03:45:54.829,1.0,transition
2022-03-12 03:45:55.829,5.0,O
2022-03-12 03:46:00.829,1.0,transition
2022-03-12 03:46:01.829,5.0,Black Screen
2022-03-12 03:46:06.829,1.0,transition
2022-03-12 03:46:07.829,5.0,Imagined Letter O
2022-03-12 03:46:12.829,1.0,transition
2022-03-12 03:46:13.829,5.0,P
2022-03-12 03:46:18.829,1.0,transition
2022-03-12 03:46:19.829,5.0,Black Screen
2022-03-12 03:46:24.829,1.0,transition
2022-03-12 03:46:25.829,5.0,Imagined Letter P
2022-03-12 03:46:30.829,1.0,transition
2022-03-12 03:46:31.829,5.0,Q
2022-03-12 03:46:36.829,1.0,transition
2022-03-12 03:46:37.829,5.0,Black Screen
2022-03-12 03:46:42.829,1.0,transition
2022-03-12 03:46:43.829,5.0,Imagined Letter Q
2022-03-12 03:46:48.829,1.0,transition
2022-03-12 03:46:49.829,5.0,R
2022-03-12 03:46:54.829,1.0,transition
2022-03-12 03:46:55.829,5.0,Black Screen
2022-03-12 03:47:00.829,1.0,transition
2022-03-12 03:47:01.829,5.0,Imagined Letter R
2022-03-12 03:47:06.829,1.0,transition
2022-03-12 03:47:07.829,5.0,S
2022-03-12 03:47:12.829,1.0,transition
2022-03-12 03:47:13.829,5.0,Black Screen
2022-03-12 03:47:18.829,1.0,transition
2022-03-12 03:47:19.829,5.0,Imagined Letter S
2022-03-12 03:47:24.829,1.0,transition
2022-03-12 03:47:25.829,5.0,T
2022-03-12 03:47:30.829,1.0,transition
2022-03-12 03:47:31.829,5.0,Black Screen
2022-03-12 03:47:36.829,1.0,transition
2022-03-12 03:47:37.829,5.0,Imagined Letter T
2022-03-12 03:47:42.829,1.0,transition
2022-03-12 03:47:43.829,5.0,U
2022-03-12 03:47:48.829,1.0,transition
2022-03-12 03:47:49.829,5.0,Black Screen
2022-03-12 03:47:54.829,1.0,transition
2022-03-12 03:47:55.829,5.0,Imagined Letter U
2022-03-12 03:48:00.829,1.0,transition
2022-03-12 03:48:01.829,5.0,V
2022-03-12 03:48:06.829,1.0,transition
2022-03-12 03:48:07.829,5.0,Black Screen
2022-03-12 03:48:12.829,1.0,transition
2022-03-12 03:48:13.829,5.0,Imagined Letter V
2022-03-12 03:48:18.829,1.0,transition
2022-03-12 03:48:19.829,5.0,W
2022-03-12 03:48:24.829,1.0,transition
2022-03-12 03:48:25.829,5.0,Black Screen
2022-03-12 03:48:30.829,1.0,transition
2022-03-12 03:48:31.829,5.0,Imagined Letter W
2022-03-12 03:48:36.829,1.0,transition
2022-03-12 03:48:37.829,5.0,X
2022-03-12 03:48:42.829,1.0,transition
2022-03-12 03:48:43.829,5.0,Black Screen
2022-03-12 03:48:48.829,1.0,transition
2022-03-12 03:48:49.829,5.0,Imagined Letter X
2022-03-12 03:48:54.829,1.0,transition
2022-03-12 03:48:55.829,5.0,Y
2022-03-12 03:49:00.829,1.0,transition
2022-03-12 03:49:01.829,5.0,Black Screen
2022-03-12 03:49:06.829,1.0,transition
2022-03-12 03:49:07.829,5.0,Imagined Letter Y
2022-03-12 03:49:12.829,1.0,transition
2022-03-12 03:49:13.829,5.0,Z
2022-03-12 03:49:18.829,1.0,transition
2022-03-12 03:49:19.829,5.0,Black Screen
2022-03-12 03:49:24.829,1.0,transition
2022-03-12 03:49:25.829,5.0,Imagined Letter Z
