onset,duration,description
2022-03-12 03:00:32.290,60.0,Eye Open
2022-03-12 03:01:32.290,1.0,transition
2022-03-12 03:01:33.290,60.0,Eye Closed
2022-03-12 03:02:33.290,1.0,transition
2022-03-12 03:02:34.290,5.0,Looked at Letter A
2022-03-12 03:02:39.290,1.0,transition
2022-03-12 03:02:40.290,5.0,Black Screen
2022-03-12 03:02:45.290,1.0,transition
2022-03-12 03:02:46.290,5.0,Imagined Letter A
2022-03-12 03:02:51.290,1.0,transition
2022-03-12 03:02:52.290,5.0,Looked at Letter B
2022-03-12 03:02:57.290,1.0,transition
2022-03-12 03:02:58.290,5.0,Black Screen
2022-03-12 03:03:03.290,1.0,transition
2022-03-12 03:03:04.290,5.0,Imagined Letter B
2022-03-12 03:03:09.290,1.0,transition
2022-03-12 03:03:10.290,5.0,Looked at Letter C
2022-03-12 03:03:15.290,1.0,transition
2022-03-12 03:03:16.290,5.0,Black Screen
2022-03-12 03:03:21.290,1.0,transition
2022-03-12 03:03:22.290,5.0,Imagined Letter C
2022-03-12 03:03:27.290,1.0,transition
2022-03-12 03:03:28.290,5.0,Looked at Letter D
2022-03-12 03:03:33.290,1.0,transition
2022-03-12 03:03:34.290,5.0,Black Screen
2022-03-12 03:03:39.290,1.0,transition
2022-03-12 03:03:40.290,5.0,Imagined Letter D
2022-03-12 03:03:45.290,1.0,transition
2022-03-12 03:03:46.290,5.0,Looked at Letter E
2022-03-12 03:03:51.290,1.0,transition
2022-03-12 03:03:52.290,5.0,Black Screen
2022-03-12 03:03:57.290,1.0,transition
2022-03-12 03:03:58.290,5.0,Imagined Letter E
2022-03-12 03:04:03.290,1.0,transition
2022-03-12 03:04:04.290,5.0,Looked at Letter F
2022-03-12 03:04:09.290,1.0,transition
2022-03-12 03:04:10.290,5.0,Black Screen
2022-03-12 03:04:15.290,1.0,transition
2022-03-12 03:04:16.290,5.0,Imagined Letter F
2022-03-12 03:04:21.290,1.0,transition
2022-03-12 03:04:22.290,5.0,Looked at Letter G
2022-03-12 03:04:27.290,1.0,transition
2022-03-12 03:04:28.290,5.0,Black Screen
2022-03-12 03:04:33.290,1.0,transition
2022-03-12 03:04:34.290,5.0,Imagined Letter G
2022-03-12 03:04:39.290,1.0,transition
2022-03-12 03:04:40.290,5.0,Looked at Letter H
2022-03-12 03:04:45.290,1.0,transition
2022-03-12 03:04:46.290,5.0,Black Screen
2022-03-12 03:04:51.290,1.0,transition
2022-03-12 03:04:52.290,5.0,Imagined Letter H
2022-03-12 03:04:57.290,1.0,transition
2022-03-12 03:04:58.290,5.0,Looked at Letter I
2022-03-12 03:05:03.290,1.0,transition
2022-03-12 03:05:04.290,5.0,Black Screen
2022-03-12 03:05:09.290,1.0,transition
2022-03-12 03:05:10.290,5.0,Imagined Letter I
2022-03-12 03:05:15.290,1.0,transition
2022-03-12 03:05:16.290,5.0,Looked at Letter J
2022-03-12 03:05:21.290,1.0,transition
2022-03-12 03:05:22.290,5.0,Black Screen
2022-03-12 03:05:27.290,1.0,transition
2022-03-12 03:05:28.290,5.0,Imagined Letter J
2022-03-12 03:05:33.290,1.0,transition
2022-03-12 03:05:34.290,5.0,Looked at Letter K
2022-03-12 03:05:39.290,1.0,transition
2022-03-12 03:05:40.290,5.0,Black Screen
2022-03-12 03:05:45.290,1.0,transition
2022-03-12 03:05:46.290,5.0,Imagined Letter K
2022-03-12 03:05:51.290,1.0,transition
2022-03-12 03:05:52.290,5.0,Looked at Letter L
2022-03-12 03:05:57.290,1.0,transition
2022-03-12 03:05:58.290,5.0,Black Screen
2022-03-12 03:06:03.290,1.0,transition
2022-03-12 03:06:04.290,5.0,Imagined Letter L
2022-03-12 03:06:09.290,1.0,transition
2022-03-12 03:06:10.290,5.0,Looked at Letter M
2022-03-12 03:06:15.290,1.0,transition
2022-03-12 03:06:16.290,5.0,Black Screen
2022-03-12 03:06:21.290,1.0,transition
2022-03-12 03:06:22.290,5.0,Imagined Letter M
2022-03-12 03:06:27.290,1.0,transition
2022-03-12 03:06:28.290,5.0,Looked at Letter N
2022-03-12 03:06:33.290,1.0,transition
2022-03-12 03:06:34.290,5.0,Black Screen
2022-03-12 03:06:39.290,1.0,transition
2022-03-12 03:06:40.290,5.0,Imagined Letter N
2022-03-12 03:06:45.290,1.0,transition
2022-03-12 03:06:46.290,5.0,Looked at Letter O
2022-03-12 03:06:51.290,1.0,transition
2022-03-12 03:06:52.290,5.0,Black Screen
2022-03-12 03:06:57.290,1.0,transition
2022-03-12 03:06:58.290,4.0,Imagined Letter O
