onset,duration,description
2022-03-12 04:58:15.745,5.0,Looked at Letter V
2022-03-12 04:58:20.745,1.0,transition
2022-03-12 04:58:21.745,5.0,Black Screen
2022-03-12 04:58:26.745,1.0,transition
2022-03-12 04:58:27.745,5.0,Imagined Letter V
2022-03-12 04:58:32.745,1.0,transition
2022-03-12 04:58:33.745,5.0,Looked at Letter W
2022-03-12 04:58:38.745,1.0,transition
2022-03-12 04:58:39.745,5.0,Black Screen
2022-03-12 04:58:44.745,1.0,transition
2022-03-12 04:58:45.745,5.0,Imagined Letter W
2022-03-12 04:58:50.745,1.0,transition
2022-03-12 04:58:51.745,5.0,Looked at Letter X
2022-03-12 04:58:56.745,1.0,transition
2022-03-12 04:58:57.745,5.0,Black Screen
2022-03-12 04:59:02.745,1.0,transition
2022-03-12 04:59:03.745,5.0,Imagined Letter X
2022-03-12 04:59:08.745,1.0,transition
2022-03-12 04:59:09.745,5.0,Looked at Letter Y
2022-03-12 04:59:14.745,1.0,transition
2022-03-12 04:59:15.745,5.0,Black Screen
2022-03-12 04:59:20.745,1.0,transition
2022-03-12 04:59:21.745,5.0,Imagined Letter Y
2022-03-12 04:59:26.745,1.0,transition
2022-03-12 04:59:27.745,5.0,Looked at Letter Z
2022-03-12 04:59:32.745,1.0,transition
2022-03-12 04:59:33.745,5.0,Black Screen
2022-03-12 04:59:38.745,1.0,transition
2022-03-12 04:59:39.745,5.0,Imagined Letter Z
