onset,duration,description
2022-03-12 05:11:54.059,60.0,Eye Open
2022-03-12 05:12:54.059,1.0,transition
2022-03-12 05:12:55.059,60.0,Eye Closed
2022-03-12 05:13:55.059,1.0,transition
2022-03-12 05:13:56.059,5.0,A
2022-03-12 05:14:01.059,1.0,transition
2022-03-12 05:14:02.059,5.0,Black Screen
2022-03-12 05:14:07.059,1.0,transition
2022-03-12 05:14:08.059,5.0,Imagined Letter A
2022-03-12 05:14:13.059,1.0,transition
2022-03-12 05:14:14.059,5.0,B
2022-03-12 05:14:19.059,1.0,transition
2022-03-12 05:14:20.059,5.0,Black Screen
2022-03-12 05:14:25.059,1.0,transition
2022-03-12 05:14:26.059,5.0,Imagined Letter B
2022-03-12 05:14:31.059,1.0,transition
2022-03-12 05:14:32.059,5.0,C
2022-03-12 05:14:37.059,1.0,transition
2022-03-12 05:14:38.059,5.0,Black Screen
2022-03-12 05:14:43.059,1.0,transition
2022-03-12 05:14:44.059,5.0,Imagined Letter C
2022-03-12 05:14:49.059,1.0,transition
2022-03-12 05:14:50.059,5.0,D
2022-03-12 05:14:55.059,1.0,transition
2022-03-12 05:14:56.059,5.0,Black Screen
2022-03-12 05:15:01.059,1.0,transition
2022-03-12 05:15:02.059,5.0,Imagined Letter D
2022-03-12 05:15:07.059,1.0,transition
2022-03-12 05:15:08.059,5.0,E
2022-03-12 05:15:13.059,1.0,transition
2022-03-12 05:15:14.059,5.0,Black Screen
2022-03-12 05:15:19.059,1.0,transition
2022-03-12 05:15:20.059,5.0,Imagined Letter E
2022-03-12 05:15:25.059,1.0,transition
2022-03-12 05:15:26.059,5.0,F
2022-03-12 05:15:31.059,1.0,transition
2022-03-12 05:15:32.059,5.0,Black Screen
2022-03-12 05:15:37.059,1.0,transition
2022-03-12 05:15:38.059,5.0,Imagined Letter F
2022-03-12 05:15:43.059,1.0,transition
2022-03-12 05:15:44.059,5.0,G
2022-03-12 05:15:49.059,1.0,transition
2022-03-12 05:15:50.059,5.0,Black Screen
2022-03-12 05:15:55.059,1.0,transition
2022-03-12 05:15:56.059,5.0,Imagined Letter G
2022-03-12 05:16:01.059,1.0,transition
2022-03-12 05:16:02.059,5.0,H
2022-03-12 05:16:07.059,1.0,transition
2022-03-12 05:16:08.059,5.0,Black Screen
2022-03-12 05:16:13.059,1.0,transition
2022-03-12 05:16:14.059,5.0,Imagined Letter H
2022-03-12 05:16:19.059,1.0,transition
2022-03-12 05:16:20.059,5.0,I
2022-03-12 05:16:25.059,1.0,transition
2022-03-12 05:16:26.059,5.0,Black Screen
2022-03-12 05:16:31.059,1.0,transition
2022-03-12 05:16:32.059,5.0,Imagined Letter I
2022-03-12 05:16:37.059,1.0,transition
2022-03-12 05:16:38.059,5.0,J
2022-03-12 05:16:43.059,1.0,transition
2022-03-12 05:16:44.059,5.0,Black Screen
2022-03-12 05:16:49.059,1.0,transition
2022-03-12 05:16:50.059,5.0,Imagined Letter J
2022-03-12 05:16:55.059,1.0,transition
2022-03-12 05:16:56.059,5.0,K
2022-03-12 05:17:01.059,1.0,transition
2022-03-12 05:17:02.059,5.0,Black Screen
2022-03-12 05:17:07.059,1.0,transition
2022-03-12 05:17:08.059,5.0,Imagined Letter K
2022-03-12 05:17:13.059,1.0,transition
2022-03-12 05:17:14.059,5.0,L
2022-03-12 05:17:19.059,1.0,transition
2022-03-12 05:17:20.059,5.0,Black Screen
2022-03-12 05:17:25.059,1.0,transition
2022-03-12 05:17:26.059,5.0,Imagined Letter L
2022-03-12 05:17:31.059,1.0,transition
2022-03-12 05:17:32.059,5.0,M
2022-03-12 05:17:37.059,1.0,transition
2022-03-12 05:17:38.059,5.0,Black Screen
2022-03-12 05:17:43.059,1.0,transition
2022-03-12 05:17:44.059,5.0,Imagined Letter M
2022-03-12 05:17:49.059,1.0,transition
2022-03-12 05:17:50.059,5.0,N
2022-03-12 05:17:55.059,1.0,transition
2022-03-12 05:17:56.059,5.0,Black Screen
2022-03-12 05:18:01.059,1.0,transition
2022-03-12 05:18:02.059,5.0,Imagined Letter N
2022-03-12 05:18:07.059,1.0,transition
2022-03-12 05:18:08.059,5.0,O
2022-03-12 05:18:13.059,1.0,transition
2022-03-12 05:18:14.059,5.0,Black Screen
2022-03-12 05:18:19.059,1.0,transition
2022-03-12 05:18:20.059,5.0,Imagined Letter O
2022-03-12 05:18:25.059,1.0,transition
2022-03-12 05:18:26.059,5.0,P
2022-03-12 05:18:31.059,1.0,transition
2022-03-12 05:18:32.059,5.0,Black Screen
2022-03-12 05:18:37.059,1.0,transition
2022-03-12 05:18:38.059,5.0,Imagined Letter P
2022-03-12 05:18:43.059,1.0,transition
2022-03-12 05:18:44.059,5.0,Q
2022-03-12 05:18:49.059,1.0,transition
2022-03-12 05:18:50.059,5.0,Black Screen
2022-03-12 05:18:55.059,1.0,transition
2022-03-12 05:18:56.059,5.0,Imagined Letter Q
2022-03-12 05:19:01.059,1.0,transition
2022-03-12 05:19:02.059,5.0,R
2022-03-12 05:19:07.059,1.0,transition
