onset,duration,description
2022-03-12 04:16:41.656,1.0,transition
2022-03-12 04:16:42.656,5.0,Black Screen
2022-03-12 04:16:47.656,1.0,transition
2022-03-12 04:16:48.656,5.0,X
2022-03-12 04:16:53.656,1.0,transition
2022-03-12 04:16:54.656,5.0,Black Screen
2022-03-12 04:16:59.656,1.0,transition
2022-03-12 04:17:00.656,5.0,Black Screen
2022-03-12 04:17:05.656,1.0,transition
2022-03-12 04:17:06.656,5.0,Y
2022-03-12 04:17:11.656,1.0,transition
2022-03-12 04:17:12.656,5.0,Black Screen
2022-03-12 04:17:17.656,1.0,transition
2022-03-12 04:17:18.656,5.0,Black Screen
2022-03-12 04:17:23.656,1.0,transition
2022-03-12 04:17:24.656,5.0,Z
2022-03-12 04:17:29.656,1.0,transition
2022-03-12 04:17:30.656,5.0,Black Screen
2022-03-12 04:17:35.656,1.0,transition
2022-03-12 04:17:36.656,5.0,Black Screen
