onset,duration,description
2022-03-12 04:33:04.937,60.0,Eye Open
2022-03-12 04:34:04.937,1.0,transition
2022-03-12 04:34:05.937,60.0,Eye Closed
2022-03-12 04:35:05.937,1.0,transition
2022-03-12 04:35:06.937,5.0,A
2022-03-12 04:35:11.937,1.0,transition
2022-03-12 04:35:12.937,5.0,Black Screen
2022-03-12 04:35:17.937,1.0,transition
2022-03-12 04:35:18.937,5.0,Imagined Letter A
2022-03-12 04:35:23.937,1.0,transition
2022-03-12 04:35:24.937,5.0,B
2022-03-12 04:35:29.937,1.0,transition
2022-03-12 04:35:30.937,5.0,Black Screen
2022-03-12 04:35:35.937,1.0,transition
2022-03-12 04:35:36.937,5.0,Imagined Letter B
2022-03-12 04:35:41.937,1.0,transition
2022-03-12 04:35:42.937,5.0,C
2022-03-12 04:35:47.937,1.0,transition
2022-03-12 04:35:48.937,5.0,Black Screen
2022-03-12 04:35:53.937,1.0,transition
2022-03-12 04:35:54.937,5.0,Imagined Letter C
2022-03-12 04:35:59.937,1.0,transition
2022-03-12 04:36:00.937,5.0,D
2022-03-12 04:36:05.937,1.0,transition
2022-03-12 04:36:06.937,5.0,Black Screen
2022-03-12 04:36:11.937,1.0,transition
2022-03-12 04:36:12.937,5.0,Imagined Letter D
2022-03-12 04:36:17.937,1.0,transition
2022-03-12 04:36:18.937,5.0,E
2022-03-12 04:36:23.937,1.0,transition
2022-03-12 04:36:24.937,5.0,Black Screen
2022-03-12 04:36:29.937,1.0,transition
2022-03-12 04:36:30.937,5.0,Imagined Letter E
2022-03-12 04:36:35.937,1.0,transition
2022-03-12 04:36:36.937,5.0,F
2022-03-12 04:36:41.937,1.0,transition
2022-03-12 04:36:42.937,5.0,Black Screen
2022-03-12 04:36:47.937,1.0,transition
2022-03-12 04:36:48.937,5.0,Imagined Letter F
2022-03-12 04:36:53.937,1.0,transition
2022-03-12 04:36:54.937,5.0,G
2022-03-12 04:36:59.937,1.0,transition
2022-03-12 04:37:00.937,5.0,Black Screen
2022-03-12 04:37:05.937,1.0,transition
2022-03-12 04:37:06.937,5.0,Imagined Letter G
2022-03-12 04:37:11.937,1.0,transition
2022-03-12 04:37:12.937,5.0,H
2022-03-12 04:37:17.937,1.0,transition
2022-03-12 04:37:18.937,5.0,Black Screen
2022-03-12 04:37:23.937,1.0,transition
2022-03-12 04:37:24.937,5.0,Imagined Letter H
2022-03-12 04:37:29.937,1.0,transition
2022-03-12 04:37:30.937,5.0,I
2022-03-12 04:37:35.937,1.0,transition
2022-03-12 04:37:36.937,5.0,Black Screen
2022-03-12 04:37:41.937,1.0,transition
2022-03-12 04:37:42.937,5.0,Imagined Letter I
2022-03-12 04:37:47.937,1.0,transition
2022-03-12 04:37:48.937,5.0,J
2022-03-12 04:37:53.937,1.0,transition
2022-03-12 04:37:54.937,5.0,Black Screen
2022-03-12 04:37:59.937,1.0,transition
2022-03-12 04:38:00.937,5.0,Imagined Letter J
2022-03-12 04:38:05.937,1.0,transition
2022-03-12 04:38:06.937,5.0,K
2022-03-12 04:38:11.937,1.0,transition
2022-03-12 04:38:12.937,5.0,Black Screen
2022-03-12 04:38:17.937,1.0,transition
2022-03-12 04:38:18.937,5.0,Imagined Letter K
2022-03-12 04:38:23.937,1.0,transition
2022-03-12 04:38:24.937,5.0,L
2022-03-12 04:38:29.937,1.0,transition
2022-03-12 04:38:30.937,5.0,Black Screen
2022-03-12 04:38:35.937,1.0,transition
2022-03-12 04:38:36.937,5.0,Imagined Letter L
2022-03-12 04:38:41.937,1.0,transition
2022-03-12 04:38:42.937,5.0,M
2022-03-12 04:38:47.937,1.0,transition
2022-03-12 04:38:48.937,5.0,Black Screen
2022-03-12 04:38:53.937,1.0,transition
2022-03-12 04:38:54.937,5.0,Imagined Letter M
2022-03-12 04:38:59.937,1.0,transition
2022-03-12 04:39:00.937,5.0,N
2022-03-12 04:39:05.937,1.0,transition
2022-03-12 04:39:06.937,5.0,Black Screen
2022-03-12 04:39:11.937,1.0,transition
2022-03-12 04:39:12.937,5.0,Imagined Letter N
2022-03-12 04:39:17.937,1.0,transition
2022-03-12 04:39:18.937,5.0,O
2022-03-12 04:39:23.937,1.0,transition
2022-03-12 04:39:24.937,5.0,Black Screen
2022-03-12 04:39:29.937,1.0,transition
2022-03-12 04:39:30.937,5.0,Imagined Letter O
2022-03-12 04:39:35.937,1.0,transition
2022-03-12 04:39:36.937,5.0,P
2022-03-12 04:39:41.937,1.0,transition
2022-03-12 04:39:42.937,5.0,Black Screen
2022-03-12 04:39:47.937,1.0,transition
2022-03-12 04:39:48.937,5.0,Imagined Letter P
2022-03-12 04:39:53.937,1.0,transition
2022-03-12 04:39:54.937,5.0,Q
2022-03-12 04:39:59.937,1.0,transition
2022-03-12 04:40:00.937,5.0,Black Screen
2022-03-12 04:40:05.937,1.0,transition
2022-03-12 04:40:06.937,5.0,Imagined Letter Q
2022-03-12 04:40:11.937,1.0,transition
2022-03-12 04:40:12.937,5.0,R
2022-03-12 04:40:17.937,1.0,transition
2022-03-12 04:40:18.937,5.0,Black Screen
2022-03-12 04:40:23.937,1.0,transition
2022-03-12 04:40:24.937,5.0,Imagined Letter R
2022-03-12 04:40:29.937,1.0,transition
2022-03-12 04:40:30.937,5.0,S
2022-03-12 04:40:35.937,1.0,transition
2022-03-12 04:40:36.937,5.0,Black Screen
2022-03-12 04:40:41.937,1.0,transition
2022-03-12 04:40:42.937,5.0,Imagined Letter S
2022-03-12 04:40:47.937,1.0,transition
2022-03-12 04:40:48.937,5.0,T
2022-03-12 04:40:53.937,1.0,transition
2022-03-12 04:40:54.937,5.0,Black Screen
2022-03-12 04:40:59.937,1.0,transition
2022-03-12 04:41:00.937,5.0,Imagined Letter T
2022-03-12 04:41:05.937,1.0,transition
2022-03-12 04:41:06.937,5.0,U
2022-03-12 04:41:11.937,1.0,transition
2022-03-12 04:41:12.937,5.0,Black Screen
2022-03-12 04:41:17.937,1.0,transition
2022-03-12 04:41:18.937,5.0,Imagined Letter U
2022-03-12 04:41:23.937,1.0,transition
2022-03-12 04:41:24.937,5.0,V
2022-03-12 04:41:29.937,1.0,transition
2022-03-12 04:41:30.937,5.0,Black Screen
2022-03-12 04:41:35.937,1.0,transition
2022-03-12 04:41:36.937,5.0,Imagined Letter V
2022-03-12 04:41:41.937,1.0,transition
2022-03-12 04:41:42.937,5.0,W
2022-03-12 04:41:47.937,1.0,transition
2022-03-12 04:41:48.937,5.0,Black Screen
